Name,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,Yellow_Cards,Red_Cards
Ryan Bertrand,29,29,2598,0,1,1537,76.8,0,0,5,0
Jannik Vestergaard,30,29,2574,3,0,1712,84.3,0,0,3,1
Danny Ings,29,26,2173,12,4,519,66.3,2,2,1,0
Oriol Romeu,21,20,1763,1,1,1258,82.8,0,0,6,0
Theo Walcott,21,20,1618,3,3,424,72.4,0,0,0,0
Nathan Redmond,29,17,1738,2,3,743,75.9,0,0,1,0
Jack Stephens,18,17,1537,0,0,1016,83.2,0,0,2,0
Moussa Djenepo,27,15,1240,1,0,400,73.8,0,0,5,0
Ibrahima Diallo,22,10,1020,0,0,587,85.2,0,0,3,0
Takumi Minamino,10,9,711,2,0,257,72.4,0,0,1,0
Mohammed Salisu,12,8,844,0,0,376,82.4,0,0,1,0
Fraser Forster,8,8,720,0,0,274,56.2,0,0,0,0
Nathan Tella,18,7,745,1,1,146,73.3,0,0,2,0
William Smallbone,3,2,172,0,0,78,82.1,0,0,0,0
Shane Long,11,1,210,0,0,59,64.4,0,0,0,0
Yan Valery,3,1,103,0,0,64,82.8,0,0,0,0
Kayne Ramsey,1,1,90,0,0,26,69.2,0,0,1,0
Jake Vokins,1,1,66,0,0,22,90.9,0,0,0,0
Alexandre Jankewitz,2,1,3,0,0,3,66.7,0,0,0,1
Dan Nlundulu,13,0,111,0,0,33,66.7,0,0,0,0
Michael Obafemi,4,0,61,0,0,15,86.7,0,0,0,0
Caleb Watts,3,0,39,0,0,13,61.5,0,0,1,0
Allan Tchaptchet,1,0,13,0,0,2,0,0,0,0,0
Ben White,36,36,3191,0,0,1766,83.2,0,0,5,1
Yves Bissouma,36,35,3111,1,0,1676,87.2,0,0,8,1
Lewis Dunk,33,33,2931,5,0,2151,90,0,0,5,2
Leandro Trossard,35,30,2607,5,5,1085,74.9,0,0,2,0
Adam Webster,29,29,2594,1,0,1794,82.7,0,0,4,0
Neal Maupay,33,29,2512,8,2,656,77.4,3,4,1,1
Pascal Groß,34,27,2484,3,8,1669,75.5,3,4,3,0
Robert Sánchez,27,27,2430,0,0,1095,71.6,0,0,2,0
Joël Veltman,28,25,2281,1,1,1491,77.3,0,0,3,0
