Name,Nationality,Age,Club,Position
Nick Pope,ENG,28,Burnley,GK
Josh Brownhill,ENG,24,Burnley,MF
Chris Wood,NZL,28,Burnley,FW
Ben Mee,ENG,30,Burnley,DF
Charlie Taylor,ENG,26,Burnley,DF
Jóhann Berg Guðmundsson,ISL,29,Burnley,MF
Matěj Vydra,CZE,28,Burnley,FW
Jack Cork,ENG,31,Burnley,MF
Ashley Barnes,ENG,30,Burnley,FW
Erik Pieters,NED,31,Burnley,"DF,MF"
Jay Rodriguez,ENG,31,Burnley,"FW,MF"
Robbie Brady,IRL,28,Burnley,MF
Kevin Long,IRL,29,Burnley,DF
Bailey Peacock-Farrell,NIR,23,Burnley,GK
Phil Bardsley,SCO,35,Burnley,DF
Jimmy Dunne,IRL,22,Burnley,DF
Dale Stephens,ENG,31,Burnley,MF
Josh Benson,ENG,20,Burnley,MF
Will Norris,ENG,26,Burnley,GK
Joel Mumbongo,SWE,21,Burnley,FW
Lewis Richardson,ENG,17,Burnley,"FW,MF"
Alphonse Areola,FRA,27,Fulham,GK
Tosin Adarabioyo,ENG,22,Fulham,DF
Ademola Lookman,ENG,22,Fulham,"FW,MF"
Ola Aina,NGA,23,Fulham,DF
Joachim Andersen,DEN,24,Fulham,DF
Andre-Frank Zambo Anguissa,CMR,24,Fulham,MF
Bobby Reid,JAM,27,Fulham,"MF,DF"
Ivan Cavaleiro,POR,26,Fulham,"FW,MF"
Harrison Reed,ENG,25,Fulham,MF
Antonee Robinson,USA,22,Fulham,DF
Ruben Loftus-Cheek,ENG,24,Fulham,"MF,FW"
Mario Lemina,GAB,26,Fulham,MF
Kenny Tete,NED,24,Fulham,DF
Aleksandar Mitrović,SRB,25,Fulham,FW
Josh Maja,NGA,21,Fulham,"FW,MF"
Tom Cairney,SCO,29,Fulham,MF
Joe Bryan,ENG,26,Fulham,"DF,FW"
Tim Ream,USA,32,Fulham,DF
Josh Onomah,ENG,23,Fulham,MF
Denis Odoi,BEL,32,Fulham,DF
Michael Hector,JAM,28,Fulham,DF
Fabio Carvalho,ENG,17,Fulham,"MF,FW"
Aboubakar Kamara,MTN,25,Fulham,"FW,DF"
Marek Rodák,SVK,23,Fulham,GK
Maxime Le Marchand,FRA,30,Fulham,DF
Neeskens Kebano,COD,28,Fulham,"FW,MF"
Terence Kongolo,NED,26,Fulham,DF
Tyrese Francois,AUS,20,Fulham,DF
Sam Johnstone,ENG,27,West Bromwich Albion,GK
Darnell Furlong,ENG,24,West Bromwich Albion,DF
Semi Ajayi,NGA,26,West Bromwich Albion,DF
Matheus Pereira,BRA,24,West Bromwich Albion,"MF,FW"
Kyle Bartley,ENG,29,West Bromwich Albion,DF
Conor Gallagher,ENG,20,West Bromwich Albion,MF
Conor Townsend,ENG,27,West Bromwich Albion,DF
Dara O'Shea,IRL,21,West Bromwich Albion,DF
Matt Phillips,SCO,29,West Bromwich Albion,MF
Callum Robinson,IRL,25,West Bromwich Albion,"FW,MF"
Romaine Sawyers,SKN,28,West Bromwich Albion,MF
Okay Yokuşlu,TUR,26,West Bromwich Albion,MF
Jake Livermore,ENG,30,West Bromwich Albion,MF
Grady Diangana,ENG,22,West Bromwich Albion,"MF,FW"
Ainsley Maitland-Niles,ENG,22,West Bromwich Albion,MF
Mbaye Diagne,SEN,28,West Bromwich Albion,FW
Karlan Grant,ENG,22,West Bromwich Albion,"FW,MF"
Kieran Gibbs,ENG,30,West Bromwich Albion,DF
Branislav Ivanović,SRB,36,West Bromwich Albion,DF
Robert Snodgrass,SCO,32,West Bromwich Albion,"MF,FW"
Filip Krovinović,CRO,24,West Bromwich Albion,MF
Lee Peltier,ENG,33,West Bromwich Albion,DF
Hal Robson-Kanu,WAL,31,West Bromwich Albion,FW
Kamil Grosicki,POL,32,West Bromwich Albion,"FW,MF"
Kyle Edwards,ENG,22,West Bromwich Albion,"MF,FW"
David Button,ENG,31,West Bromwich Albion,GK
Ahmed Hegazi,EGY,29,West Bromwich Albion,DF
Charlie Austin,ENG,31,West Bromwich Albion,FW
Sam Field,ENG,22,West Bromwich Albion,MF
Rekeem Harper,ENG,20,West Bromwich Albion,MF
Aaron Ramsdale,ENG,22,Sheffield United,GK
George Baldock,ENG,27,Sheffield United,DF
Chris Basham,ENG,32,Sheffield United,"DF,MF"
Enda Stevens,IRL,30,Sheffield United,DF
John Egan,IRL,27,Sheffield United,DF
John Fleck,SCO,28,Sheffield United,MF
David McGoldrick,IRL,32,Sheffield United,"FW,MF"
Oliver Norwood,NIR,29,Sheffield United,MF
Ethan Ampadu,WAL,19,Sheffield United,"DF,MF"
John Lundstram,ENG,26,Sheffield United,MF
Ben Osborn,ENG,25,Sheffield United,"MF,DF"
Oliver Burke,SCO,23,Sheffield United,FW
Sander Berge,NOR,22,Sheffield United,MF
Oliver McBurnie,SCO,24,Sheffield United,FW
Rhian Brewster,ENG,20,Sheffield United,FW
Jayden Bogle,ENG,20,Sheffield United,DF
Kean Bryan,ENG,23,Sheffield United,DF
Jack Robinson,ENG,26,Sheffield United,DF
Billy Sharp,ENG,34,Sheffield United,FW
Max Lowe,ENG,23,Sheffield United,DF
Phil Jagielka,ENG,37,Sheffield United,DF
Daniel Jebbison,ENG,17,Sheffield United,FW
Lys Mousset,FRA,24,Sheffield United,"FW,MF"
Jack O'Connell,ENG,26,Sheffield United,DF
Iliman Ndiaye,FRA,21,Sheffield United,MF
Antwoine Hackford,ENG,16,Sheffield United,"DF,FW"
Femi Seriki,ENG,17,Sheffield United,DF
